food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,food_name_normalized,category,category_source,urt_food_name,urt,gram_per_portion,similarity_score,match_type_fuzzy,match_type,URT,is_usable_for_recommendation,energy_kcal_portion,protein_g_portion,fat_g_portion,carb_g_portion,sodium_mg_portion,potassium_mg_portion,calcium_mg_portion,processing_status,restricted_processed_flag,macro_count
AR001,"Beras giling, mentah",KZGMI-2001,12.0,357,8.4,1.7,77.1,0.2,0.8,147.0,81,1.8,27.0,71.0,0.10,0.5,0,0,0,0.20,0.08,2.6,0,100.0,beras giling,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,535.5,12.600000000000001,2.55,115.64999999999999,40.5,106.5,220.5,Non-Olahan,False,4
AR002,"Beras giling var pelita, mentah",KZGPI-1990,11.4,369,9.5,1.4,77.1,0.4,0.6,68.0,171,1.4,0.0,34.0,0.00,0.0,0,0,0,0.26,0.00,0.0,100,0.0,beras giling pelita var,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,553.5,14.25,2.0999999999999996,115.64999999999999,0.0,51.0,102.0,Non-Olahan,False,4
AR003,"Beras giling var rojolele, mentah",KZGPI-1990,12.0,357,8.4,1.7,77.1,0.2,0.8,147.0,81,1.8,112.9,34.0,80,0,0.1,0.14,0.10,0.02,0.20,1.5,0,100.0,beras giling rojolele var,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,535.5,12.600000000000001,2.55,115.64999999999999,169.35000000000002,51.0,220.5,Non-Olahan,False,4
AR004,"Beras hitam, mentah",KZGMI-2001,12.9,351,8.0,1.3,76.9,20.1,0.9,6.0,198,0.1,15.0,105.0,1.6,0,0,0,641,0.06,0.21,0.0,100,0.0,beras hitam,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,526.5,12.0,1.9500000000000002,115.35000000000001,22.5,157.5,9.0,Non-Olahan,False,4
AR005,"Beras jagung kuning, kering, mentah",KZGMI-2001,10.8,358,5.5,0.1,82.7,10.0,0.9,20.0,90,1.4,80.0,1.0,4.1,0.10,0.10,3.5,301,0.08,0.12,1.0,100,0.0,beras jagung kuning,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,537.0,8.25,0.15000000000000002,124.05000000000001,120.0,1.5,30.0,Non-Olahan,False,4
AR006,"Beras jagung putih, kering, mentah",KZGMI-2001,22.5,307,4.8,0.1,71.8,10.0,0.8,17.0,78,1.2,70.0,1.0,0,0,0.28,0,2.2,0.15,0.07,0.9,100,0.0,beras jagung putih,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,460.5,7.199999999999999,0.15000000000000002,107.69999999999999,105.0,1.5,25.5,Non-Olahan,False,4
AR007,"Beras ketan hitam tumbuk, mentah",KZGPI-1990,13.7,360,8.0,2.3,74.5,1.0,1.5,10.0,347,6.2,288.0,11.0,-,-,-,-,-,0.10,0.24,2.0,0,100.0,beras hitam ketan tumbuk,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,540.0,12.0,3.4499999999999997,111.75,432.0,16.5,15.0,Non-Olahan,False,4
AR008,"Beras ketan putih tumbuk, mentah",KZGPI-1990,12.9,361,7.4,0.8,78.4,0.4,0.5,13.0,157,3.4,3.0,282.0,0,0,0,22,0.28,0.00,0.28,1.4,0,100.0,beras ketan putih tumbuk,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,541.5,11.100000000000001,1.2000000000000002,117.60000000000001,4.5,423.0,19.5,Non-Olahan,False,4
AR009,"Beras ladang, mentah",KZGMI-2001,9.8,376,7.5,3.8,78.0,5.9,0.9,20.0,110,0.8,10.0,70.0,0.10,1.4,0,0,-,0.20,0.20,5.1,100,0.0,beras ladang,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,564.0,11.25,5.699999999999999,117.0,15.0,105.0,30.0,Non-Olahan,False,4
AR010,"Beras menir, mentah",DABM-1964,12.0,362,7.7,4.4,73.0,0.2,0.2,22.0,272,3.7,90.0,201.0,0,0,0.5,0.10,-,0.00,0.55,1.9,0,100.0,beras menir,MP,code_prefix,,,150.0,,no_match,smart_portion_default,3/4 Gelas,True,543.0,11.55,6.6000000000000005,109.5,135.0,301.5,33.0,Non-Olahan,False,4
