food_code,food_name,SUMBER,AIR (g),energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,SERAT (g),ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,category,is_olahan_code,food_name_normalized_tkpi,urt_match_normalized,match_score,best_candidate,match_status,urt_food_name,urt_gram,urt,food_name_normalized_urt,urt_gram_numeric,gram_per_portion,URT,match_type,is_usable_for_recommendation
AR001,"Beras giling, mentah",KZGMI-2001,12.0,357,8.4,1.7,77.1,0.2,0.8,147.0,81,1.8,27.0,71.0,0.10,0.5,0,0,0,0.20,0.08,2.6,0,100.0,MP,False,beras giling,,72.72727272727273,nasi beras 1⁄2 giling,low_score,,,,,,,,unmatched,False
AR002,"Beras giling var pelita, mentah",KZGPI-1990,11.4,369,9.5,1.4,77.1,0.4,0.6,68.0,171,1.4,0.0,34.0,0.00,0.0,0,0,0,0.26,0.00,0.0,100,0.0,MP,False,beras giling var pelita,,78.26086956521739,nasi beras giling hitam,low_score,,,,,,,,unmatched,False
AR003,"Beras giling var rojolele, mentah",KZGPI-1990,12.0,357,8.4,1.7,77.1,0.2,0.8,147.0,81,1.8,112.9,34.0,80,0,0.1,0.14,0.10,0.02,0.20,1.5,0,100.0,MP,False,beras giling var rojolele,,62.5,nasi beras giling hitam,low_score,,,,,,,,unmatched,False
AR004,"Beras hitam, mentah",KZGMI-2001,12.9,351,8.0,1.3,76.9,20.1,0.9,6.0,198,0.1,15.0,105.0,1.6,0,0,0,641,0.06,0.21,0.0,100,0.0,MP,False,beras hitam,,64.70588235294117,nasi beras giling hitam,low_score,,,,,,,,unmatched,False
AR005,"Beras jagung kuning, kering, mentah",KZGMI-2001,10.8,358,5.5,0.1,82.7,10.0,0.9,20.0,90,1.4,80.0,1.0,4.1,0.10,0.10,3.5,301,0.08,0.12,1.0,100,0.0,MP,False,beras jagung kuning,,60.0,nasi beras 1⁄2 giling,low_score,,,,,,,,unmatched,False
AR006,"Beras jagung putih, kering, mentah",KZGMI-2001,22.5,307,4.8,0.1,71.8,10.0,0.8,17.0,78,1.2,70.0,1.0,0,0,0.28,0,2.2,0.15,0.07,0.9,100,0.0,MP,False,beras jagung putih,,76.47058823529412,nasi beras putih,low_score,,,,,,,,unmatched,False
AR007,"Beras ketan hitam tumbuk, mentah",KZGPI-1990,13.7,360,8.0,2.3,74.5,1.0,1.5,10.0,347,6.2,288.0,11.0,-,-,-,-,-,0.10,0.24,2.0,0,100.0,MP,False,beras ketan hitam tumbuk,,65.0,tape beras ketan,low_score,,,,,,,,unmatched,False
AR008,"Beras ketan putih tumbuk, mentah",KZGPI-1990,12.9,361,7.4,0.8,78.4,0.4,0.5,13.0,157,3.4,3.0,282.0,0,0,0,22,0.28,0.00,0.28,1.4,0,100.0,MP,False,beras ketan putih tumbuk,,65.0,nasi beras putih,low_score,,,,,,,,unmatched,False
AR009,"Beras ladang, mentah",KZGMI-2001,9.8,376,7.5,3.8,78.0,5.9,0.9,20.0,110,0.8,10.0,70.0,0.10,1.4,0,0,-,0.20,0.20,5.1,100,0.0,MP,False,beras ladang,,69.56521739130434,udang basah,low_score,,,,,,,,unmatched,False
AR010,"Beras menir, mentah",DABM-1964,12.0,362,7.7,4.4,73.0,0.2,0.2,22.0,272,3.7,90.0,201.0,0,0,0.5,0.10,-,0.00,0.55,1.9,0,100.0,MP,False,beras menir,,74.07407407407408,nasi beras merah,low_score,,,,,,,,unmatched,False
AR011,Beras parboiled,DABM-1964,10.0,353,6.8,0.6,80.0,0.5,2.5,5.0,142,0.8,2.0,46.0,1.0,0,0,0.28,-,0.22,0.11,3.4,100,0.0,MP,False,beras parboiled,,53.84615384615385,rebon basah,low_score,,,,,,,,unmatched,False
AR012,"Beras tumbuk, mentah",KZGMI-2001,11.5,354,7.8,0.4,79.9,3.8,0.4,3.0,112,0.6,5.0,85.0,0.50,0,0,1.5,-,0.25,0.22,5.1,100,0.0,MP,False,beras tumbuk,,66.66666666666667,tepung beras,low_score,,,,,,,,unmatched,False
AR013,"Beras tumbuk merah, mentah",KZGPI-1990,14.6,352,7.3,0.9,76.2,0.8,1.0,15.0,257,4.2,10.0,202.0,0.36,1.9,0,0,0,0.00,0.34,3.3,100,0.0,MP,False,beras tumbuk merah,,70.58823529411764,nasi beras merah,low_score,,,,,,,,unmatched,False
AR014,"Cantel, mentah",DABM-1964,11.0,366,11.0,3.3,73.0,1.2,1.7,28.0,287,4.4,7.0,249.0,0,0,-,-,-,0.09,0.14,2.8,100,0.0,MP,False,cantel,,58.82352941176471,kacang mete,low_score,,,,,,,,unmatched,False
AR015,"Jagung muda, kuning, mentah",KZGPI-1990,61.8,147,5.1,0.7,31.5,1.3,0.9,6.0,122,1.1,5.0,33.6,0.10,0.24,0.9,0.8,113,0.13,261,0,9,100.0,MP,False,jagung muda kuning,,64.70588235294117,ubi jalar kuning,low_score,,,,,,,,unmatched,False
AR016,"Jagung kuning pipil, kering, mentah",KZGPI-1990,11.5,366,9.8,7.3,69.1,2.2,2.4,30.0,538,2.3,5.0,79.4,0.10,1.8,0.12,0.12,641,0.12,636,4.1,100,3.0,MP,False,jagung kuning pipil,,62.857142857142854,ubi jalar kuning,low_score,,,,,,,,unmatched,False
AR017,"Jagung pipil var. harapan, kering",KZGPI-1990,11.3,367,6.2,5.1,76.2,2.6,1.2,7.0,354,2.8,1.0,79.6,0.08,0.19,385,637,4.1,0.10,1.0,-,100,0.0,MP,False,jagung pipil var. harapan,,47.05882352941176,gula aren,low_score,,,,,,,,unmatched,False
AR018,"Jagung pipil var. metro, kering",KZGPI-1990,10.6,368,5.5,4.6,78.0,2.9,1.3,7.0,300,2.4,1.0,80.2,0.16,0.08,554,642,4.1,0.10,1.0,-,100,0.0,MP,False,jagung pipil var. metro,,45.714285714285715,kacang merah,low_score,,,,,,,,unmatched,False
