food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
AR001,"Beras giling, mentah",KZGMI-2001,12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71.0,0.10,0.5,0,0,0,0.20,0.08,2.6,0,100,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras giling, mentah",nasi beras giling putih,beras giling,3/4 Gelas,0.75,Gelas,100,False,True,True,False
AR002,"Beras giling var pelita, mentah",KZGPI-1990,11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,0.0,34,0.00,0.0,0,0,0,0.26,0.00,0.0,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras giling var pelita, mentah",nasi beras giling putih,beras giling var pelita,3/4 Gelas,0.75,Gelas,100,False,True,True,False
AR003,"Beras giling var rojolele, mentah",KZGPI-1990,12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,112.9,34,80,0,0.1,0.14,0.10,0.02,0.20,1.5,0,100,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras giling var rojolele, mentah",nasi beras giling putih,beras giling var rojolele,3/4 Gelas,0.75,Gelas,100,False,True,True,False
AR004,"Beras hitam, mentah",KZGMI-2001,12.9,351,8.0,1.3,76.9,20.1,0.9,6,198,0.1,15,105.0,1.6,0,0,0,641,0.06,0.21,0.0,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras hitam, mentah",nasi beras giling hitam,beras hitam,3/4 Gelas,0.75,Gelas,100,False,True,True,False
AR005,"Beras jagung kuning, kering, mentah",KZGMI-2001,10.8,358,5.5,0.1,82.7,10.0,0.9,20,90,1.4,80.0,1,4.1,0.10,0.10,3.5,301,0.08,0.12,1.0,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras jagung kuning, kering, mentah","beras jagung kuning, kering","beras jagung kuning, kering",,,,,False,False,False,False
AR006,"Beras jagung putih, kering, mentah",KZGMI-2001,22.5,307,4.8,0.1,71.8,10.0,0.8,17,78,1.2,70.0,1,0,0,0.28,0,2.2,0.15,0.07,0.9,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras jagung putih, kering, mentah","beras jagung putih, kering","beras jagung putih, kering",,,,,False,False,False,False
AR007,"Beras ketan hitam tumbuk, mentah",KZGPI-1990,13.7,360,8.0,2.3,74.5,1.0,1.5,10,347,6.2,288.0,11,-,-,-,-,-,0.10,0.24,2.0,0,100,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras ketan hitam tumbuk, mentah",beras ketan hitam tumbuk,beras ketan hitam tumbuk,,,,,False,False,False,False
AR008,"Beras ketan putih tumbuk, mentah",KZGPI-1990,12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3,282.0,0,0,0,22,0.28,0.00,0.28,1.4,0,100,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras ketan putih tumbuk, mentah",beras ketan putih tumbuk,beras ketan putih tumbuk,,,,,False,False,False,False
AR009,"Beras ladang, mentah",KZGMI-2001,9.8,376,7.5,3.8,78.0,5.9,0.9,20,110,0.8,10,70.0,0.10,1.4,0,0,-,0.20,0.20,5.1,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras ladang, mentah",beras ladang,beras ladang,,,,,False,False,False,False
AR010,"Beras menir, mentah",DABM-1964,12.0,362,7.7,4.4,73.0,0.2,0.2,22,272,3.7,90,201.0,0,0,0.5,0.10,-,0.00,0.55,1.9,0,100,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras menir, mentah",beras menir,beras menir,,,,,False,False,False,False
AR011,Beras parboiled,DABM-1964,10.0,353,6.8,0.6,80.0,0.5,2.5,5,142,0.8,2,46.0,1.0,0,0,0.28,-,0.22,0.11,3.4,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,beras parboiled,beras parboiled,beras parboiled,,,,,False,False,False,False
AR012,"Beras tumbuk, mentah",KZGMI-2001,11.5,354,7.8,0.4,79.9,3.8,0.4,3,112,0.6,5,85.0,0.50,0,0,1.5,-,0.25,0.22,5.1,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras tumbuk, mentah",beras tumbuk,beras tumbuk,,,,,False,False,False,False
AR013,"Beras tumbuk merah, mentah",KZGPI-1990,14.6,352,7.3,0.9,76.2,0.8,1.0,15,257,4.2,10,202.0,0.36,1.9,0,0,0,0.00,0.34,3.3,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras tumbuk merah, mentah",nasi beras giling merah,beras tumbuk merah,3/4 Gelas,0.75,Gelas,100,False,True,True,False
AR014,"Cantel, mentah",DABM-1964,11.0,366,11.0,3.3,73.0,1.2,1.7,28,287,4.4,7,249.0,0,0,-,-,-,0.09,0.14,2.8,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"cantel, mentah",cantel,cantel,,,,,False,False,False,False
AR015,"Jagung muda, kuning, mentah",KZGPI-1990,61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5,33.6,0.10,0.24,0.9,0.8,113,0.13,261,0,9,100,A,AR,MP,Makanan Pokok,tkpi_main_group,"jagung muda, kuning, mentah","jagung muda, kuning","jagung muda, kuning",,,,,False,False,False,False
AR016,"Jagung kuning pipil, kering, mentah",KZGPI-1990,11.5,366,9.8,7.3,69.1,2.2,2.4,30,538,2.3,5,79.4,0.10,1.8,0.12,0.12,641,0.12,636,4.1,100,3,A,AR,MP,Makanan Pokok,tkpi_main_group,"jagung kuning pipil, kering, mentah","jagung kuning pipil, kering","jagung kuning pipil, kering",,,,,False,False,False,False
AR017,"Jagung pipil var. harapan, kering",KZGPI-1990,11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1,79.6,0.08,0.19,385,637,4.1,0.10,1.0,-,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"jagung pipil var. harapan, kering","jagung pipil var. harapan, kering","jagung pipil var. harapan, kering",,,,,False,False,False,False
AR018,"Jagung pipil var. metro, kering",KZGPI-1990,10.6,368,5.5,4.6,78.0,2.9,1.3,7,300,2.4,1,80.2,0.16,0.08,554,642,4.1,0.10,1.0,-,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"jagung pipil var. metro, kering","jagung pipil var. metro, kering","jagung pipil var. metro, kering",,,,,False,False,False,False
AR019,"Jali, mentah",DABM-1964,23.0,324,11.0,4.0,61.0,3.1,1.0,213,176,11.0,24,-,0.10,0.08,0.14,1.8,0.4,-,-,-,90,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"jali, mentah",jali,jali,,,,,False,False,False,False
AR020,"Jawawut, mentah",DABM-1964,11.9,364,9.7,3.5,73.4,8.2,1.5,28,311,5.3,7,255.1,0.28,0.33,4.5,33,0.45,-,-,1.5,100,-,A,AR,MP,Makanan Pokok,tkpi_main_group,"jawawut, mentah",jawawut,jawawut,,,,,False,False,False,False
AR021,"Jampang huma, mentah",DABM-1964,11.7,350,6.2,1.4,78.2,1.7,2.5,329,254,5.3,53,396.7,1.6,0.30,0.51,33,0.70,-,-,0.7,0,100,A,AR,G,Gula,keyword_rule,"jampang huma, mentah",jampang huma,jampang huma,,,,,False,False,False,False
AP001,Nasi,KZGPI-1990,56.7,180,3.0,0.3,39.8,0.2,0.2,25,27,0.4,1,38.0,0.10,-,-,-,0,0.05,-,0,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,nasi,nasi,nasi,,,,,True,False,True,False
AP002,Nasi tim,OKN-1992,71.0,120,2.4,0.4,26.0,0.5,0.2,3,7,0.4,0,23.9,0.10,0,-,-,0,0.10,-,0,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,nasi tim,nasi tim,nasi tim,,,,,True,False,True,False
AP004,"Tepung beras, mentah",DABM-1964,12.0,353,7.0,0.5,80.0,2.4,0.5,5,140,0.8,5,241.0,0.6,0.10,0,0,0,0.12,12,0.8,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,"tepung beras, mentah",tepung beras,tepung beras,8 Sendok Makan,8.0,Sendok Makan,50,True,True,True,False
AP005,Nasi beras merah,KZGPI-1990,64.0,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0,0.00,0,0,0,0.06,0,1.6,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,nasi beras merah,nasi beras merah,nasi beras merah,,,,,True,False,True,False
AP006,"Bihun, mentah",DABM-1964,12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,5.0,12,0.08,0.00,0.00,0,0,0,0.2,0.7,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,"bihun, mentah",bihun,bihun,1/2 Gelas,0.5,Gelas,50,True,True,True,False
AP007,Bihun goreng instan,KZGMS-1993,9.0,381,6.1,3.9,80.3,-,0.7,266,151,2.9,928,-,0.37,58,400,-,-,-,-,-,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,bihun goreng instan,bihun goreng instan,bihun goreng instan,,,,,True,False,True,False
AP008,"Bihun Jagung, mentah",BKP,11.3,354,0.5,0.3,87.4,3.0,0.5,13,111,0.6,1.4,49,0.40,0.02,0.0,0,0.02,0,-,0.3,0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,"bihun jagung, mentah",bihun jagung,bihun jagung,,,,,True,False,True,False
AP009,Nasi jagung,BKP,11.0,357,8.8,0.5,79.5,6.2,0.3,5,43,0.6,2,30.4,0.1,0.02,0.30,0.10,0,0,-,0.3,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,nasi jagung,nasi jagung,nasi jagung,,,,,True,False,True,False
AP011,"Jagung kuning, tepung",DABM-1964,12.0,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.38,510,0.3,0.02,0,1.7,-,0.23,100,-,A,AP,MP,Makanan Pokok,tkpi_main_group,"jagung kuning, tepung","jagung kuning, tepung","jagung kuning, tepung",,,,,True,False,True,False
AP013,Tepung jagung putih,DABM-1964,12.0,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,0,0,0.38,0.02,-,0.3,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,tepung jagung putih,tepung jagung putih,tepung jagung putih,,,,,True,False,True,False
AP019,"Maizena, tepung",DABM-1964,14.0,341,0.3,0.0,85.0,7.0,0.7,20,30,1.5,6,9.0,1.6,0.22,0,0,0,0.09,0.00,1.3,0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,"maizena, tepung","maizena, tepung","maizena, tepung",,,,,True,False,True,False
AP020,"Makaroni, mentah",DABM-1964,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5,0.0,0.28,1.4,0,-,-,0.10,0.13,2.2,0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,"makaroni, mentah",makaroni,makaroni,1½ Gelas,1.5,Gelas,50,True,True,True,False
AP021,Mi basah,DABM-1964,80.0,88,0.6,3.3,14.0,0.1,2.1,14,13,6.8,63,13.5,0.06,0.4,0,-,-,0.00,0.00,0.0,0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,mi basah,mi basah,mi basah,,,,,True,False,True,False
AP022,Mi kering,KZGPI-1990,10.6,339,10.0,1.7,6.3,0.4,1.4,31,143,3.9,83.0,760,0.29,1.9,0,-,-,0.08,0.00,-,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,mi kering,mi kering,mi kering,,,,,True,False,True,False
AP024,Roti putih,DABM-1964,40.0,248,8.0,1.2,50.0,9.1,0.8,10,95,1.5,91.0,530,0.9,0.15,0,0,0,0.29,0.10,2.4,0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,roti putih,roti putih,roti putih,3 Iris,3.0,Iris,70,True,True,True,False
AP025,Tepung terigu,KZGPI-1990,11.8,333,9.0,1.0,77.2,0.3,1.0,22,150,1.3,2,0.0,2.8,0.00,0,0,0,0.10,0.07,1.0,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,tepung terigu,tepung terigu,tepung terigu,5 Sendok Makan,5.0,Sendok Makan,50,True,True,True,False
AP029,Biskuit,DABM-1964,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,20.3,241,0.16,0.6,14,0,-,0.15,0.09,1.4,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,biskuit,biskuit,biskuit,4 Buah Besar,4.0,Buah Besar,40,True,True,False,False
AP089,Nasi gemuk,KZGMI-2001,61.4,192,3.8,8.8,24.4,0.7,1.0,1.6,15,74,355,63.0,0.20,0,1.4,0,0.19,0.05,2.0,0,100,-,A,AP,MP,Makanan Pokok,tkpi_main_group,nasi gemuk,nasi gemuk,nasi gemuk,,,,,True,False,True,False
AP090,Nasi gurih,KZGMI-2001,60.5,190,4.7,7.5,26.0,0.7,0.8,1.3,12,62,52.0,296,0.20,1.2,0,0,0.06,0.11,2.1,0,100,-,A,AP,MP,Makanan Pokok,tkpi_main_group,nasi gurih,nasi gurih,nasi gurih,,,,,True,False,True,False
AP091,Nasi minyak,KZGMI-2001,53.3,207,3.5,5.0,37.1,0.8,1.1,100,26,1.5,174.0,74,0.20,0,0,2.2,0.14,2.6,0.07,-,100,0,A,AP,M,Minyak / Lemak,keyword_rule,nasi minyak,nasi minyak,nasi minyak,,,,,True,False,True,False
AP092,Nasi rames,KZGMS-1993,65.8,155,10.3,4.2,19.1,-,0.6,239,62,1.8,3140,265,96,-,0.59,-,-,-,-,-,100,-,A,AP,MP,Makanan Pokok,tkpi_main_group,nasi rames,nasi rames,nasi rames,,,,,True,False,True,False
AP098,Pundut nasi,KZGMI-2001,77.8,104,1.9,4.1,15.1,0.4,1.1,1.5,100,26,74,174.0,0.00,0.0,-,-,-,-,-,-,100,-,A,AP,MP,Makanan Pokok,tkpi_main_group,pundut nasi,pundut nasi,pundut nasi,,,,,True,False,True,False
AP103,Roti boong,KZGMI-2001,34.0,341,5.5,16.2,43.3,1.0,-,15,65,1.1,41.0,161,0.9,0.40,0.30,2.4,0,-,-,-,100,-,A,AP,MP,Makanan Pokok,tkpi_main_group,roti boong,roti boong,roti boong,,,,,True,False,True,False
AP104,Roti wana sawo matang,DABM-1964,40.0,249,7.9,1.5,49.7,-,0.9,20,140,2.5,500,91.0,0,0,0,0.15,-,-,-,-,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,roti wana sawo matang,roti wana sawo matang,roti wana sawo matang,,,,,True,False,True,False
BR001,"Arrowroot, segar",KZGPI- 1990,"73,5",102,1,"0,2","24,1","1,7","1,2",28,35,"1,7",36,"626,6","0,2","0,8",0,15,0,"0,06","0,1","2,3",2,100,B,BR,MP,Makanan Pokok,tkpi_main_group,"arrowroot, segar",arrowroot,arrowroot,,,,,False,False,False,False
BR002,"Batatas gembili, segar",KZGMI-2001,"76,7",76,"1,1","0,9",16,"4,2","0,7",0,40,"0,2",10,200,"0,2","0,3",0,0,0,"0,06",0,"0,9",0,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"batatas gembili, segar",batatas gembili,batatas gembili,,,,,False,False,False,False
BR003,"Batatas kelapa, ubi, segar",KZGMI-2001,"76,1",89,"1,1","0,1",21,4,"0,7",0,40,"0,2",20,340,"0,1","0,2",0,0,0,"0,38",0,"0,9",0,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"batatas kelapa, ubi, segar","batatas kelapa, ubi","batatas kelapa, ubi",,,,,False,False,False,False
BR004,"Belitung, talas, segar",KZGPI- 1990,"63,1",145,"1,2","0,4","34,2","1,5","1,1",26,54,"1,4",6,"536,1","0,2","0,9",0,0,0,"0,1","0,1","2,3",2,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"belitung, talas, segar","belitung, talas","belitung, talas",,,,,False,False,False,False
BR005,"Bengkuang, segar",DABM- 1964,"85,1",59,"1,4","0,2","12,8",1,"0,5",15,18,"0,6",2,"244,3","0,1","0,3",,0,,"0,04","0,1","0,2",20,84,B,BR,MP,Makanan Pokok,tkpi_main_group,"bengkuang, segar",bengkuang,bengkuang,,,,,False,False,False,False
BR006,"Bentul (komba), talas, segar",KZGPI- 1990,"75,8",98,"1,6","0,7","20,9","0,7","1,8",44,66,"1,5",,"195,5","0,2","0,6",0,0,0,"0,02","0,1","0,8",0,86,B,BR,MP,Makanan Pokok,tkpi_main_group,"bentul (komba), talas, segar","bentul (komba), talas","bentul (komba), talas",,,,,False,False,False,False
BR007,"Gadeng/Gadung, kering",KZGMI-2001,"20,2",322,"2,4","0,6","76,6",,"0,2",39,22,"2,2",5,2,"0,5","0,2",0,0,0,"0,45","0,02",1,0,100,B,BR,MP,Makanan Pokok,tkpi_main_group,"gadeng/gadung, kering","gadeng gadung, kering","gadeng gadung, kering",,,,,False,False,False,False
BR008,"Gadung, ubi, segar",KZGPI- 1990,"74,4",100,"0,9","0,3","23,5","2,1","0,9",79,66,"0,9",8,"687,2","0,2","0,2",0,0,0,"0,23",0,"0,5",2,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"gadung, ubi, segar","gadung, ubi","gadung, ubi",,,,,False,False,False,False
BR009,"Ganyong, segar",KZGPI- 1990,"79,9",77,"0,6","0,2","18,4","0,8","0,9",15,67,1,,,,,0,0,0,"0,1",,,9,65,B,BR,MP,Makanan Pokok,tkpi_main_group,"ganyong, segar",ganyong,ganyong,,,,,False,False,False,False
BR010,"Gembili, ubi, segar",KZGPI- 1990,"66,4",131,"1,1","0,2","31,3","1,1",1,14,56,"0,6",10,200,"0,2","0,3",0,0,0,"0,08",0,"0,9",4,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"gembili, ubi, segar","gembili, ubi","gembili, ubi",,,,,False,False,False,False
BR011,"Hofa/ubi hutan, segar",KZGMI-2001,"67,9",127,"1,2","0,5","29,5","3,4","0,9",30,8,"0,7",3,4,"0,1","0,2",0,0,0,"0,3","0,05","0,6",0,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"hofa/ubi hutan, segar",hofa ubi hutan,hofa ubi hutan,,,,,False,False,False,False
BR012,"Kaburan, ubi, segar",KZGPI- 1990,"66,5",133,1,"0,2","32,2","0,7","0,5",65,50,"0,6",10,"899,2","0,2","0,2",0,0,0,"0,01",0,"0,3",0,81,B,BR,MP,Makanan Pokok,tkpi_main_group,"kaburan, ubi, segar","kaburan, ubi","kaburan, ubi",,,,,False,False,False,False
BR013,"Kentang, segar",KZGPI- 1990,"83,4",62,"2,1","0,2","13,5","0,5","0,8",63,58,"0,7",7,396,"0,4","0,3",0,0,0,"0,09","0,1",1,21,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"kentang, segar",kentang,kentang,2 Buah Sedang,2.0,Buah Sedang,210,False,True,False,False
