food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
AR001,"Beras giling, mentah",KZGMI-2001,12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71.0,0.10,0.5,0,0,0,0.20,0.08,2.6,0,100,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras giling, mentah",nasi beras giling putih,beras giling,3/4 Gelas,100,False,True,True,False
AR002,"Beras giling var pelita, mentah",KZGPI-1990,11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,0.0,34,0.00,0.0,0,0,0,0.26,0.00,0.0,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras giling var pelita, mentah",nasi beras giling putih,beras giling var pelita,3/4 Gelas,100,False,True,True,False
AR003,"Beras giling var rojolele, mentah",KZGPI-1990,12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,112.9,34,80,0,0.1,0.14,0.10,0.02,0.20,1.5,0,100,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras giling var rojolele, mentah",nasi beras giling putih,beras giling var rojolele,3/4 Gelas,100,False,True,True,False
AR004,"Beras hitam, mentah",KZGMI-2001,12.9,351,8.0,1.3,76.9,20.1,0.9,6,198,0.1,15,105.0,1.6,0,0,0,641,0.06,0.21,0.0,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras hitam, mentah",nasi beras giling hitam,beras hitam,3/4 Gelas,100,False,True,True,False
AR013,"Beras tumbuk merah, mentah",KZGPI-1990,14.6,352,7.3,0.9,76.2,0.8,1.0,15,257,4.2,10,202.0,0.36,1.9,0,0,0,0.00,0.34,3.3,100,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras tumbuk merah, mentah",nasi beras giling merah,beras tumbuk merah,3/4 Gelas,100,False,True,True,False
AP004,"Tepung beras, mentah",DABM-1964,12.0,353,7.0,0.5,80.0,2.4,0.5,5,140,0.8,5,241.0,0.6,0.10,0,0,0,0.12,12,0.8,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,"tepung beras, mentah",tepung beras,tepung beras,8 Sendok Makan,50,True,True,True,False
AP006,"Bihun, mentah",DABM-1964,12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,5.0,12,0.08,0.00,0.00,0,0,0,0.2,0.7,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,"bihun, mentah",bihun,bihun,1/2 Gelas,50,True,True,True,False
AP020,"Makaroni, mentah",DABM-1964,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5,0.0,0.28,1.4,0,-,-,0.10,0.13,2.2,0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,"makaroni, mentah",makaroni,makaroni,1½ Gelas,50,True,True,True,False
AP024,Roti putih,DABM-1964,40.0,248,8.0,1.2,50.0,9.1,0.8,10,95,1.5,91.0,530,0.9,0.15,0,0,0,0.29,0.10,2.4,0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,roti putih,roti putih,roti putih,3 Iris,70,True,True,True,False
AP025,Tepung terigu,KZGPI-1990,11.8,333,9.0,1.0,77.2,0.3,1.0,22,150,1.3,2,0.0,2.8,0.00,0,0,0,0.10,0.07,1.0,100,0,A,AP,MP,Makanan Pokok,tkpi_main_group,tepung terigu,tepung terigu,tepung terigu,5 Sendok Makan,50,True,True,True,False
