food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready,selected_portions,selected_gram,energy_kcal_selected_total,protein_g_selected_total,fat_g_selected_total,carb_g_selected_total,sodium_mg_selected_total,potassium_mg_selected_total,calcium_mg_selected_total,fiber_g_selected_total,selected_urt_qty,selected_urt_fraction,selected_urt
AP006,"Bihun, mentah",DABM-1964,12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,5.0,12.0,0.08,0.00,0.0,0,0,0,0.2,0.7,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,"bihun, mentah",bihun,bihun,1/2 Gelas,0.5,Gelas,50.0,True,True,True,False,174.0,2.35,0.05,41.05,2.5,6.0,3.0,0.6,False,True,2.0,100.0,348.0,4.7,0.1,82.1,5.0,12.0,6.0,1.2,1.0,1,1 Gelas
AP020,"Makaroni, mentah",DABM-1964,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5.0,0.0,0.28,1.4,0.0,-,-,0.10,0.13,2.2,0.0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,"makaroni, mentah",makaroni,makaroni,1½ Gelas,1.5,Gelas,50.0,True,True,True,False,176.5,4.35,0.2,39.35,2.5,0.0,10.0,2.45,False,True,2.0,100.0,353.0,8.7,0.4,78.7,5.0,0.0,20.0,4.9,3.0,3,3 Gelas
CP061,"Tahu, mentah",KZGPI- 1990,"82,2",80,10.9,4.7,0.8,0.1,"1,4",223,183,"3,4",2.0,50.6,"0,19","0,8",,118,,"0,01","0,08","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tahu, mentah",tahu,tahu,2 Potong Sedang,2.0,Potong Sedang,100.0,True,True,True,False,80.0,10.9,4.7,0.8,2.0,50.6,223.0,0.1,False,True,1.0,100.0,80.0,10.9,4.7,0.8,2.0,50.6,223.0,0.1,2.0,2,2 Potong Sedang
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,20.8,8.8,13.5,1.4,"1,6",155,326,4,9.0,234.0,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50.0,True,True,True,False,100.5,10.4,4.4,6.75,4.5,117.0,77.5,0.7,False,True,2.0,100.0,201.0,20.8,8.8,13.5,9.0,234.0,155.0,1.4,4.0,4,4 potong sedang
DR055,"Daun melinjo, segar",DABM-1964,"70,8",104,5.0,1.3,21.3,10.3,"1,6",219,82,"4,2",12.2,604.8,"0,4","0,6",,823,10000,"0,09",,,182.0,88,D,DR,S,Sayur,tkpi_main_group,"daun melinjo, segar",daun melinjo,daun melinjo,1 gelas,1.0,gelas,100.0,False,False,False,False,104.0,5.0,1.3,21.3,12.2,604.8,219.0,10.3,False,True,1.5,150.0,156.0,7.5,1.9500000000000002,31.950000000000003,18.299999999999997,907.1999999999999,328.5,15.450000000000001,1.5,1 1/2,1 1/2 gelas
DR106,"Kelawi, kluwih, segar",DABM-1964,70,118,1.5,0.3,27.2,5.0,1,28,32,"0,9",2.0,500.9,"0,09","0,1",,0,20,"0,1","0,03","0,9",19.0,77,D,DR,S,Sayur,tkpi_main_group,"kelawi, kluwih, segar","kelawi, kluwih","kelawi, kluwih",1 gelas,1.0,gelas,100.0,False,False,False,False,118.0,1.5,0.3,27.2,2.0,500.9,28.0,5.0,False,True,0.5,50.0,59.0,0.75,0.15,13.6,1.0,250.45,14.0,2.5,0.5,1/2,1/2 gelas
DR130,"Nangka muda, segar",DABM-1964,"85,4",57,2.0,0.4,11.3,8.3,"0,9",45,29,"0,5",1.1,246.5,"0,04","0,1",,21,25,"0,07","0,06","0,7",9.0,80,D,DR,S,Sayur,tkpi_main_group,"nangka muda, segar",nangka muda,nangka muda,1 gelas,1.0,gelas,100.0,False,False,False,False,57.0,2.0,0.4,11.3,1.1,246.5,45.0,8.3,False,True,1.0,100.0,57.0,2.0,0.4,11.3,1.1,246.5,45.0,8.3,1.0,1,1 gelas
ER022,"Duku, segar",DABM-1964,82,63,1.0,0.2,16.1,4.3,"0,7",18,9,"0,9",2.0,149.0,"0,09","0,2",,0,0,"0,05","0,15","1,5",9.0,64,E,ER,B,Buah,tkpi_main_group,"duku, segar",duku,duku,14 buah sedang,14.0,buah sedang,80.0,False,True,False,False,50.4,0.8,0.16,12.88,1.6,119.2,14.4,3.44,False,True,2.0,160.0,100.8,1.6,0.32,25.76,3.2,238.4,28.8,6.88,28.0,28,28 buah sedang
FR025,"Sapi, daging, kurus, segar",DABM-1964,69,174,19.6,10.0,0.0,0.0,"1,4",11,181,"2,9",83.0,489.0,"0,07","4,9",6.0,,,,,"1,2",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, kurus, segar",daging sapi,"sapi, daging, kurus",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,60.9,6.86,3.5,0.0,29.05,171.15,3.85,0.0,False,True,0.5,17.5,30.45,3.43,1.75,0.0,14.525,85.575,1.925,0.0,0.5,1/2,1/2 potong sedang
GR001,"Belut, segar",KZGMI-2001,"81,5",70,14.6,0.8,1.0,0.0,"2,1",49,155,"1,5",55.0,169.0,"0,2","1,2",,0,,"0,22","0,12","7,7",,,G,GR,LH,Lauk Hewani,tkpi_main_group,"belut, segar",belut,belut,3 ekor,3.0,ekor,45.0,False,True,False,False,31.5,6.57,0.36,0.45,24.75,76.05,22.05,0.0,False,True,0.5,22.5,15.75,3.285,0.18,0.225,12.375,38.025,11.025,0.0,1.5,1 1/2,1 1/2 ekor
GR003,"Cumi-cumi, segar",KZGPI- 1990,"82,2",75,16.1,0.7,0.1,0.0,"0,9",32,200,"1,8",37.0,204.1,"1,6","1,3",0.0,20,0,"0,08",0,"2,5",0.0,,G,GR,LH,Lauk Hewani,tkpi_main_group,"cumi-cumi, segar",cumi-cumi,cumi-cumi,1 ekor kecil,1.0,ekor kecil,45.0,False,True,False,False,33.75,7.245000000000001,0.3149999999999999,0.045,16.65,91.845,14.4,0.0,False,True,2.0,90.0,67.5,14.490000000000002,0.6299999999999998,0.09,33.3,183.69,28.8,0.0,2.0,2,2 ekor kecil
