food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready
AR001,"Beras giling, mentah",KZGMI-2001,12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27.0,71.0,0.10,0.5,0.0,0,0,0.20,0.08,2.6,0.0,100,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras giling, mentah",nasi beras giling putih,beras giling,3/4 Gelas,0.75,Gelas,100.0,False,True,True,False,357.0,8.4,1.7,77.1,27.0,71.0,147.0,0.2,False,True
AR002,"Beras giling var pelita, mentah",KZGPI-1990,11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,0.0,34.0,0.00,0.0,0.0,0,0,0.26,0.00,0.0,100.0,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras giling var pelita, mentah",nasi beras giling putih,beras giling var pelita,3/4 Gelas,0.75,Gelas,100.0,False,True,True,False,369.0,9.5,1.4,77.1,0.0,34.0,68.0,0.4,False,True
AR003,"Beras giling var rojolele, mentah",KZGPI-1990,12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,112.9,34.0,80,0,0.1,0.14,0.10,0.02,0.20,1.5,0.0,100,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras giling var rojolele, mentah",nasi beras giling putih,beras giling var rojolele,3/4 Gelas,0.75,Gelas,100.0,False,True,True,False,357.0,8.4,1.7,77.1,112.9,34.0,147.0,0.2,False,True
AR004,"Beras hitam, mentah",KZGMI-2001,12.9,351,8.0,1.3,76.9,20.1,0.9,6,198,0.1,15.0,105.0,1.6,0,0.0,0,641,0.06,0.21,0.0,100.0,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras hitam, mentah",nasi beras giling hitam,beras hitam,3/4 Gelas,0.75,Gelas,100.0,False,True,True,False,351.0,8.0,1.3,76.9,15.0,105.0,6.0,20.1,False,True
AR013,"Beras tumbuk merah, mentah",KZGPI-1990,14.6,352,7.3,0.9,76.2,0.8,1.0,15,257,4.2,10.0,202.0,0.36,1.9,0.0,0,0,0.00,0.34,3.3,100.0,0,A,AR,MP,Makanan Pokok,tkpi_main_group,"beras tumbuk merah, mentah",nasi beras giling merah,beras tumbuk merah,3/4 Gelas,0.75,Gelas,100.0,False,True,True,False,352.0,7.3,0.9,76.2,10.0,202.0,15.0,0.8,False,True
AP006,"Bihun, mentah",DABM-1964,12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,5.0,12.0,0.08,0.00,0.0,0,0,0,0.2,0.7,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,"bihun, mentah",bihun,bihun,1/2 Gelas,0.5,Gelas,50.0,True,True,True,False,174.0,2.35,0.05,41.05,2.5,6.0,3.0,0.6,False,True
AP020,"Makaroni, mentah",DABM-1964,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5.0,0.0,0.28,1.4,0.0,-,-,0.10,0.13,2.2,0.0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,"makaroni, mentah",makaroni,makaroni,1½ Gelas,1.5,Gelas,50.0,True,True,True,False,176.5,4.35,0.2,39.35,2.5,0.0,10.0,2.45,False,True
AP024,Roti putih,DABM-1964,40.0,248,8.0,1.2,50.0,9.1,0.8,10,95,1.5,91.0,530.0,0.9,0.15,0.0,0,0,0.29,0.10,2.4,0.0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,roti putih,roti putih,roti putih,3 Iris,3.0,Iris,70.0,True,True,True,False,173.6,5.6,0.84,35.0,63.7,371.0,7.0,6.37,False,True
AP029,Biskuit,DABM-1964,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,20.3,241.0,0.16,0.6,14.0,0,-,0.15,0.09,1.4,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,biskuit,biskuit,biskuit,4 Buah Besar,4.0,Buah Besar,40.0,True,True,False,False,183.2,2.76,5.76,30.04,8.12,96.4,24.8,0.84,False,True
BR013,"Kentang, segar",KZGPI- 1990,"83,4",62,2.1,0.2,13.5,0.5,"0,8",63,58,"0,7",7.0,396.0,"0,4","0,3",0.0,0,0,"0,09","0,1",1,21.0,85,B,BR,MP,Makanan Pokok,tkpi_main_group,"kentang, segar",kentang,kentang,2 Buah Sedang,2.0,Buah Sedang,210.0,False,True,False,False,130.2,4.41,0.42,28.35,14.7,831.6,132.3,1.05,False,True
BR014,"Kentang hitam, segar",DABM- 1964,64,142,0.9,0.4,33.7,5.4,1,34,75,"0,2",22.0,890.3,"0,9","0,6",,0,,"0,02","0,1","2,2",38.0,75,B,BR,MP,Makanan Pokok,tkpi_main_group,"kentang hitam, segar",kentang hitam,kentang hitam,12 Biji,12.0,Biji,125.0,False,True,False,False,177.5,1.125,0.5,42.125,27.5,1112.875,42.5,6.75,False,True
CR018,"Kacang kedelai, segar",DABM-1964,20,286,30.2,15.6,30.1,2.9,"4,1",196,506,"6,9",28.0,870.9,"1,24","3,6",,,95,"0,93","0,26","1,8",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang kedelai, segar",kacang kedelai,kacang kedelai,2 Sendok Makan,2.0,Sendok Makan,25.0,False,True,False,False,71.5,7.55,3.9,7.525,7.0,217.725,49.0,0.725,False,True
CR027,"Kacang merah, segar",KZGPI- l990,"57,2",171,11.0,2.2,28.0,2.1,"1,7",293,134,"3,7",7.0,360.7,"0,34","1,4",,0,10,"0,15","0,15","1,1",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang merah, segar",kacang merah,kacang merah,2 Sendok Makan,2.0,Sendok Makan,25.0,False,True,False,False,42.75,2.75,0.55,7.0,1.75,90.175,73.25,0.525,False,True
CP005,"kacang hijau, rebus",KZGPI-1990,"71,3",109,8.7,0.5,18.3,1.5,"1,2",95,149,"1,5",447.0,657.8,"1,4","2,8",,18,120,"0,12","0,04","0,4",3.0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"kacang hijau, rebus",kacang hijau,kacang hijau,2 Sendok Makan,2.0,Sendok Makan,25.0,True,True,False,False,27.25,2.175,0.125,4.575,111.75,164.45,23.75,0.375,False,True
CP007,"Kacang kedelai, rebus",KZGPI-1990,"56,8",189,20.2,8.2,12.7,1.6,"2,1",91,270,"3,9",181.0,615.0,"1,3","3,7",,4,15,"0,2","0,04","0,5",0.0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"kacang kedelai, rebus",kacang kedelai,kacang kedelai,2 Sendok Makan,2.0,Sendok Makan,25.0,True,True,False,False,47.25,5.05,2.05,3.175,45.25,153.75,22.75,0.4,False,True
CP037,Kembang tahu,KZGPI- 1990,"10,8",380,48.9,13.8,23.3,0.0,"3,2",378,781,"2,1",55.0,455.3,"0,68","4,2",,0,,"0,15","0,08","0,7",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,kembang tahu,kembang tahu,kembang tahu,1 Lembar,1.0,Lembar,20.0,True,True,True,False,76.0,9.78,2.76,4.66,11.0,91.06,75.6,0.0,False,True
CP051,Oncom,DABM-1964,57,187,13.0,6.0,22.6,,"1,4",96,115,27,,,,,0.0,,,"0,09",0,"1,6",0.0,100,C,CP,LN,Lauk Nabati,tkpi_main_group,oncom,oncom,oncom,2 Potong Besar,2.0,Potong Besar,50.0,True,True,True,False,93.5,6.5,3.0,11.3,,,48.0,,False,True
