food_name,food_name_normalized_tkpi,urt_food_name,food_name_normalized_urt,match_score
"Beras giling, mentah",beras giling,,,72.72727272727273
"Beras giling var pelita, mentah",beras giling var pelita,,,78.26086956521739
"Beras jagung putih, kering, mentah",beras jagung putih,,,76.47058823529412
"Beras menir, mentah",beras menir,,,74.07407407407408
"Beras tumbuk merah, mentah",beras tumbuk merah,,,70.58823529411764
Nasi tim,nasi tim,Teri nasi,teri nasi,82.35294117647058
Nasi jagung,nasi jagung,,,70.58823529411764
"Sagu singkong, kering",sagu singkong,,,76.19047619047619
"Ubi jalar manis, segar",ubi jalar manis,,,77.41935483870968
"Ubi jalar putih, segar",ubi jalar putih,,,77.41935483870968
Ubi jalar tinta/ kemayung,ubi jalar tinta kemayung,,,75.0
"Kacang gude, biji, kering",kacang gude biji,,,71.42857142857143
"Kacang gude, biji, segar",kacang gude biji,,,71.42857142857143
"Kacang hitam, kering",kacang hitam,Kacang Hijau,kacang hijau,83.33333333333334
"Kacang kapri, segar",kacang kapri,,,76.92307692307692
"Kacang kincai, kering",kacang kincai,,,74.07407407407408
"Kacang komak, segar",kacang komak,,,75.0
"Kacang mentega, kering",kacang mentega,Kacang Mete,kacang mete,88.0
"Kacang merah/ banda, kering",kacang merah banda,Kacang Merah,kacang merah,80.0
"Kacang merah tua, kering",kacang merah tua,Kacang Merah,kacang merah,85.71428571428572
Kacang tanah sangan,kacang tanah sangan,,,75.67567567567568
"Kacang tanah, kering",kacang tanah,Keju Kacang Tanah,keju kacang tanah,82.75862068965517
"Kacang urei, kering",kacang urei,,,72.72727272727273
"Alpukat, segar",alpukat,Alpokat,alpokat,85.71428571428572
"Jeruk banjar, segar",jeruk banjar,,,72.72727272727273
Jeruk garut-keprok,jeruk garut keprok,,,75.86206896551724
"Jeruk Kalamansi, segar",jeruk kalamansi,,,76.92307692307692
"Jeruk ragi, segar",jeruk ragi,,,76.19047619047619
"Kemang, segar",kemang,,,71.42857142857143
"Mangga muda, segar",mangga muda,,,70.58823529411764
"Manggis, segar",manggis,,,76.92307692307692
"Pisang ayam, segar",pisang ayam,,,78.26086956521739
"Pisang gapi, segar",pisang gapi,,,76.19047619047619
"Pisang hijau, segar",pisang hijau,,,72.72727272727273
"Pisang kayu, segar",pisang kayu,,,76.19047619047619
"Pisang ketip, segar",pisang ketip,Pisang kepok,pisang kepok,83.33333333333334
"Pisang kidang, segar",pisang kidang,,,72.0
"Pisang lampung, segar",pisang lampung,,,76.92307692307692
"Pisang raja sereh, segar",pisang raja sereh,,,78.57142857142857
"Pisang rotan, segar",pisang rotan,,,78.26086956521739
"Pisang talas, segar",pisang talas,,,78.26086956521739
"Pisang ua, segar",pisang ua,Pisang raja,pisang raja,80.0
"Rambutan binjai, segar",rambutan binjai,,,72.0
"Angsa, daging, segar",angsa daging,Daging asap,daging asap,86.95652173913044
"Ayam, daging, segar",ayam daging,Daging asap,daging asap,81.81818181818181
"Babi, daging, gemuk,segar",babi daging gemuk,,,78.57142857142857
"Babi, daging, kurus, segar",babi daging kurus,,,78.57142857142857
"Babi, ginjal, segar",babi ginjal,,,72.72727272727273
"Babi, hati, segar",babi hati,,,70.0
"Belibis, daging, segar",belibis daging,Daging babi,daging babi,80.0
"Kelinci, daging, segar",kelinci daging,,,71.42857142857143
"Kuda, daging, segar",kuda daging,,,75.0
"Sapi, babat, segar",sapi babat,,,73.6842105263158
"Sapi, otak, segar",sapi otak,,,70.0
"Ikan balong, segar",ikan balong,,,70.0
"Ikan banjar, segar",ikan banjar,,,70.0
"Ikan batung, segar",ikan batung,,,70.0
"Ikan baung, segar",ikan baung,,,73.6842105263158
