food_name,weight_gram,urt,category_code,category_name,urt_qty,urt_unit,urt_food_name_clean,urt_food_name_match
Bihun,50,1/2 Gelas,MP,Makanan Pokok,0.5,Gelas,bihun,bihun
Biskuit,40,4 Buah Besar,MP,Makanan Pokok,4.0,Buah Besar,biskuit,biskuit
Havermut,45,5½ Sendok Besar,MP,Makanan Pokok,5.5,Sendok Besar,havermut,havermut
Jagung Segar,125,3 Buah Sedang,MP,Makanan Pokok,3.0,Buah Sedang,jagung segar,jagung segar
Kentang,210,2 Buah Sedang,MP,Makanan Pokok,2.0,Buah Sedang,kentang,kentang
Kentang Hitam,125,12 Biji,MP,Makanan Pokok,12.0,Biji,kentang hitam,kentang hitam
Maizena,50,10 Sendok Makan,MP,Makanan Pokok,10.0,Sendok Makan,maizena,maizena
Makaroni,50,1½ Gelas,MP,Makanan Pokok,1.5,Gelas,makaroni,makaroni
Mie Basah,200,2 Gelas,MP,Makanan Pokok,2.0,Gelas,mie basah,mie basah
Mie Kering,50,1 Gelas,MP,Makanan Pokok,1.0,Gelas,mie kering,mie kering
Nasi Beras Giling putih,100,3/4 Gelas,MP,Makanan Pokok,0.75,Gelas,nasi beras giling putih,nasi beras giling putih
Nasi Beras Giling Merah,100,3/4 Gelas,MP,Makanan Pokok,0.75,Gelas,nasi beras giling merah,nasi beras giling merah
Nasi Beras Giling Hitam,100,3/4 Gelas,MP,Makanan Pokok,0.75,Gelas,nasi beras giling hitam,nasi beras giling hitam
Nasi Beras ½ Giling,100,3/4 Gelas,MP,Makanan Pokok,0.75,Gelas,nasi beras 1⁄2 giling,nasi beras 1⁄2 giling
Nasi Ketan Putih,100,3/4 Gelas,MP,Makanan Pokok,0.75,Gelas,nasi ketan putih,nasi ketan putih
Roti Putih,70,3 Iris,MP,Makanan Pokok,3.0,Iris,roti putih,roti putih
Roti Warna Coklat,70,3 Iris,MP,Makanan Pokok,3.0,Iris,roti warna coklat,roti warna coklat
Singkong,120,1½ Potong,MP,Makanan Pokok,1.5,Potong,singkong,singkong
Sukun,150,3 Potong Sedang,MP,Makanan Pokok,3.0,Potong Sedang,sukun,sukun
Talas,125,1½ Biji Sedang,MP,Makanan Pokok,1.5,Biji Sedang,talas,talas
Tape Beras Ketan,100,5 Sendok Makan,MP,Makanan Pokok,5.0,Sendok Makan,tape beras ketan,tape beras ketan
Tape Singkong,100,1 Potong Sedang,MP,Makanan Pokok,1.0,Potong Sedang,tape singkong,tape singkong
