food_code,food_name,SUMBER,AIR (g),energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,SERAT (g),ABU (g),calcium_mg_100g,FOSFOR (mg),BESI (mg),sodium_mg_100g,potassium_mg_100g,TEMBAGA (mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR-TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT C (mg),bdd_percent,category_code,is_processed_code,keep_this_food,food_name_normalized,urt_food_name,urt_gram,urt,urt_gram_numeric,_merge,gram_per_portion,URT,match_type,is_usable_for_recommendation,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,gram_per_portion_urt,portion_source
AP005,nasi beras merah,KZGPI-1990,64.0,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0,0.00,0,0,0,0.06,0,1.6,100,0,MP,True,True,nasi beras merah,Nasi Beras Giling Merah,100,3/4 Gelas,100.0,both,100.0,3/4 Gelas,normalized_urt,True,149.0,2.8,0.4,32.5,100.0,URT
BR013,"kentang, segar",KZGPI- 1990,"83,4",62,2.1,0.2,13.5,"0,5","0,8",63,58,"0,7",7,396,"0,4","0,3",0,0,0,"0,09","0,1",1,21,85,MP,False,True,kentang,Kentang,210,2 Buah Sedang,210.0,both,210.0,2 Buah Sedang,normalized_urt,True,130.2,4.41,0.42,28.35,210.0,URT
BR014,"kentang hitam, segar",DABM- 1964,64,142,0.9,0.4,33.7,"5,4",1,34,75,"0,2",22,"890,3","0,9","0,6",,0,,"0,02","0,1","2,2",38,75,MP,False,True,kentang hitam,Kentang Hitam,125,12 Biji,125.0,both,125.0,12 Biji,normalized_urt,True,177.5,1.125,0.5,42.125,125.0,URT
BR028,"ubi jalar, kuning, segar",KZGMI-2001,"72,6",119,0.5,0.4,25.1,"4,2",1,30,40,"0,4",3,1,"0,1","0,2",0,794,4948,"0,06","0,07","0,7",21,85,MP,False,True,ubi jalar kuning,Ubi Jalar Kuning,135,1 Biji Sedang,135.0,both,135.0,1 Biji Sedang,normalized_urt,True,160.65,0.675,0.54,33.885,135.0,URT
CR014,"kacang hijau, kering",KZGPI-1990,"15,5",323,22.9,1.5,56.8,"7,5","3,3",223,319,"7,5",42,"815,7","1,9","2,9",,156,223,"0,46","0,15","1,5",10,100,LN,False,True,kacang hijau,Kacang Hijau,25,2 Sendok Makan,25.0,both,25.0,2 Sendok Makan,normalized_urt,True,80.75,5.725,0.375,14.2,25.0,URT
CR017,"kacang kedelai, kering",KZGPI-1990,"12,7",381,40.4,16.7,24.9,"3,2","5,5",222,682,10,210,"713,4","1,58","3,9",,237,31,"0,52","0,12","1,2",,100,LN,False,True,kacang kedelai,Kacang Kedelai,25,2 Sendok Makan,25.0,both,25.0,2 Sendok Makan,normalized_urt,True,95.25,10.1,4.175,6.225,25.0,URT
CR018,"kacang kedelai, segar",DABM-1964,20,286,30.2,15.6,30.1,"2,9","4,1",196,506,"6,9",28,"870,9","1,24","3,6",,,95,"0,93","0,26","1,8",,100,LN,False,True,kacang kedelai,Kacang Kedelai,25,2 Sendok Makan,25.0,both,25.0,2 Sendok Makan,normalized_urt,True,71.5,7.55,3.9,7.525,25.0,URT
CR026,"kacang merah, kering",KZGPI- l990,"17,7",314,22.1,1.1,56.2,4,"2,9",502,429,"10,3",11,"1265,5","0,65","2,6",,129,,"0,4","0,72","2,2",,100,LN,False,True,kacang merah,Kacang Merah,25,2 Sendok Makan,25.0,both,25.0,2 Sendok Makan,normalized_urt,True,78.5,5.525,0.275,14.05,25.0,URT
CR027,"kacang merah, segar",KZGPI- l990,"57,2",171,11.0,2.2,28.0,"2,1","1,7",293,134,"3,7",7,"360,7","0,34","1,4",,0,10,"0,15","0,15","1,1",,100,LN,False,True,kacang merah,Kacang Merah,25,2 Sendok Makan,25.0,both,25.0,2 Sendok Makan,normalized_urt,True,42.75,2.75,0.55,7.0,25.0,URT
CP037,kembang tahu,KZGPI- 1990,"10,8",380,48.9,13.8,23.3,0,"3,2",378,781,"2,1",55,"455,3","0,68","4,2",,0,,"0,15","0,08","0,7",,100,LN,True,True,kembang tahu,Kembang Tahu,20,1 Lembar,20.0,both,20.0,1 Lembar,normalized_urt,True,76.0,9.78,2.76,4.66,20.0,URT
