food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready,variety_key,day,selected_portions,selected_gram
AP020,"Makaroni, mentah",DABM-1964,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5.0,0.0,0.28,1.4,0.0,-,-,0.10,0.13,2.2,0.0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,"makaroni, mentah",makaroni,makaroni,1½ Gelas,1.5,Gelas,50.0,True,True,True,False,176.5,4.35,0.2,39.35,2.5,0.0,10.0,2.45,False,True,MP_makaroni,1,2.0,100.0
AP029,Biskuit,DABM-1964,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,20.3,241.0,0.16,0.6,14.0,0,-,0.15,0.09,1.4,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,biskuit,biskuit,biskuit,4 Buah Besar,4.0,Buah Besar,40.0,True,True,False,False,183.2,2.76,5.76,30.04,8.12,96.4,24.8,0.84,False,True,MP_biskuit,1,2.0,80.0
CR018,"Kacang kedelai, segar",DABM-1964,20,286,30.2,15.6,30.1,2.9,"4,1",196,506,"6,9",28.0,870.9,"1,24","3,6",,,95,"0,93","0,26","1,8",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang kedelai, segar",kacang kedelai,kacang kedelai,2 Sendok Makan,2.0,Sendok Makan,25.0,False,True,False,False,71.5,7.55,3.9,7.525,7.0,217.725,49.0,0.725,False,True,"LN_kacang kedelai, segar",1,1.5,37.5
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,20.8,8.8,13.5,1.4,"1,6",155,326,4,9.0,234.0,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50.0,True,True,True,False,100.5,10.4,4.4,6.75,4.5,117.0,77.5,0.7,False,True,"LN_tempe kedelai, mentah",1,1.5,75.0
DR106,"Kelawi, kluwih, segar",DABM-1964,70,118,1.5,0.3,27.2,5.0,1,28,32,"0,9",2.0,500.9,"0,09","0,1",,0,20,"0,1","0,03","0,9",19.0,77,D,DR,S,Sayur,tkpi_main_group,"kelawi, kluwih, segar","kelawi, kluwih","kelawi, kluwih",1 gelas,1.0,gelas,100.0,False,False,False,False,118.0,1.5,0.3,27.2,2.0,500.9,28.0,5.0,False,True,"S_kelawi, kluwih, segar",1,0.5,50.0
DR130,"Nangka muda, segar",DABM-1964,"85,4",57,2.0,0.4,11.3,8.3,"0,9",45,29,"0,5",1.1,246.5,"0,04","0,1",,21,25,"0,07","0,06","0,7",9.0,80,D,DR,S,Sayur,tkpi_main_group,"nangka muda, segar",nangka muda,nangka muda,1 gelas,1.0,gelas,100.0,False,False,False,False,57.0,2.0,0.4,11.3,1.1,246.5,45.0,8.3,False,True,S_nangka_muda,1,2.0,200.0
DR138,"Rebung, segar",KZGMI-2001,"93,3",25,0.8,0.1,5.3,9.7,"0,5",3,5,"0,5",3.0,206.0,"0,1","0,4",,10,,"0,2","0,07","0,5",0.0,28,D,DR,S,Sayur,tkpi_main_group,"rebung, segar",rebung,rebung,1 gelas,1.0,gelas,100.0,False,False,False,False,25.0,0.8,0.1,5.3,3.0,206.0,3.0,9.7,False,True,"S_rebung, segar",1,0.5,50.0
ER022,"Duku, segar",DABM-1964,82,63,1.0,0.2,16.1,4.3,"0,7",18,9,"0,9",2.0,149.0,"0,09","0,2",,0,0,"0,05","0,15","1,5",9.0,64,E,ER,B,Buah,tkpi_main_group,"duku, segar",duku,duku,14 buah sedang,14.0,buah sedang,80.0,False,True,False,False,50.4,0.8,0.16,12.88,1.6,119.2,14.4,3.44,False,True,B_duku,1,1.0,80.0
ER065,"Markisa, segar",KZGPI- 1990,65,144,3.5,1.2,29.8,11.4,"0,8",27,203,"1,4",37.0,453.8,"0,11","0,1",0.0,969,691,"0,02","0,17",2,10.0,48,E,ER,B,Buah,tkpi_main_group,"markisa, segar",markisa,markisa,¾ buah sedang,0.75,buah sedang,35.0,False,True,False,False,50.4,1.225,0.42,10.43,12.95,158.83,9.45,3.99,False,True,"B_markisa, segar",1,1.0,35.0
FR005,"Ayam, daging, segar",DABM-1964,"55,9",298,18.2,25.0,0.0,0.0,"0,9",14,200,"1,5",109.0,385.9,"0,11","0,6",245.0,,,,,"10,4",0.0,58,F,FR,LH,Lauk Hewani,tkpi_main_group,"ayam, daging, segar",daging ayam,"ayam, daging",1 potong sedang,1.0,potong sedang,40.0,False,True,False,False,119.2,7.28,10.0,0.0,43.6,154.36,5.6,0.0,False,True,LH_ayam,1,0.5,20.0
